ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
19,0,13,8445.59,845.566,10,3.59E+09,845.466,846.869,98.4298,98.5448,#FF0000,0.1,52.0643
19,0,13,8445.59,768.788,11,5.88E+09,768.688,769.981,98.4298,98.5448,#FF0000,0.1,52.0643
19,0,13,8445.59,704.806,12,5.59E+09,704.706,705.909,98.4388,98.5552,#FF0000,0.1,52.0643
19,0,11,8445.59,650.668,13,1.49E+09,650.568,651.693,98.4388,98.5448,#FF0000,0.1,52.0643
20,0,143,204.09,205.097,1,1.83E+10,204.997,206.2,12.2188,17.3255,#FF0000,0.1,-339.146
21,0,1,3132.51,314.259,10,1.06E+09,314.159,314.96,10.4797,10.4797,#FF0000,0.1,-1068.49
22,0,1,9852.03,1408.44,7,3.61E+07,1408.48,1410.4,98.612,98.612,#FF0000,0.1,56.2557
22,0,4,9852.03,1232.51,8,3.11E+08,1232.54,1234.24,98.6007,98.636,#FF0000,0.1,56.2557
22,0,8,9852.03,1095.68,9,1.09E+09,1095.69,1097.23,98.6007,98.6843,#FF0000,0.1,56.2557
22,0,10,9852.03,986.21,10,2.70E+09,986.211,987.614,98.6007,98.7047,#FF0000,0.1,56.2557
22,0,10,9852.03,896.647,11,3.25E+09,896.638,897.931,98.6007,98.7158,#FF0000,0.1,56.2557
22,0,12,9852.03,822.01,12,3.88E+09,821.994,823.196,98.5902,98.7158,#FF0000,0.1,56.2557
22,0,10,9852.03,758.856,13,2.26E+09,758.833,759.958,98.6007,98.7047,#FF0000,0.1,56.2557
22,0,9,9852.03,704.724,14,7.09E+08,704.695,705.755,98.6007,98.7047,#FF0000,0.1,56.2557
23,0,8,602.401,603.409,1,3.77E+09,603.309,605.514,99.811,99.8373,#FF0000,0.1,-339.146
24,0,1,10143.3,1268.92,8,4.06E+07,1268.94,1270.77,98.2432,98.2432,#FF0000,0.1,52.0568
24,0,4,10143.3,1128.04,9,1.71E+08,1128.05,1129.7,98.2012,98.2857,#FF0000,0.1,52.0568
24,0,5,10143.3,1015.33,10,4.47E+08,1015.33,1016.84,98.2012,98.2857,#FF0000,0.1,52.0568
24,0,6,10143.3,923.123,11,1.31E+09,923.114,924.499,98.2012,98.3072,#FF0000,0.1,52.0568
24,0,10,10143.3,846.28,12,2.79E+09,846.263,847.549,97.747,98.3295,#FF0000,0.1,52.0568
24,0,9,10143.3,781.259,13,4.07E+09,781.236,782.438,97.797,98.3072,#FF0000,0.1,52.0568
24,0,7,10143.3,725.527,14,2.79E+09,725.498,726.629,98.1762,98.3072,#FF0000,0.1,52.0568
24,0,6,10143.3,677.225,15,9.54E+08,677.192,678.261,98.2012,98.3072,#FF0000,0.1,52.0568
24,0,5,10143.3,634.962,16,1.92E+08,634.924,635.939,98.2012,98.2857,#FF0000,0.1,52.0568
25,0,68,2503.17,1252.59,2,2.22E+09,1252.49,1255.2,94.0463,95.6252,#FF0000,0.1,59.4913
25,0,116,2503.17,835.398,3,4.08E+10,835.298,837.169,93.8947,96.8572,#FF0000,0.1,59.4913
26,0,2,3668.03,1223.68,3,2.05E+07,1223.58,1226.12,85.8348,85.959,#FF0000,0.1,-354.989
26,0,1,3668.03,734.613,5,1.01E+09,734.513,736.117,85.894,85.894,#FF0000,0.1,-354.989
27,0,1,2819.06,314.236,9,1.00E+09,314.136,315.005,10.4797,10.4797,#FF0000,0.1,-1246.08
28,0,2,4969.57,1243.4,4,9.76E+07,1243.3,1245.51,98.5902,98.6007,#FF0000,0.1,56.7049
28,0,9,4969.57,994.922,5,1.30E+09,994.822,996.626,98.5902,98.645,#FF0000,0.1,56.7049
28,0,10,4969.57,829.27,6,3.95E+09,829.17,830.706,98.5778,98.645,#FF0000,0.1,56.7049
28,0,7,4969.57,710.946,7,1.55E+09,710.846,712.192,98.5902,98.645,#FF0000,0.1,56.7049
28,0,1,4969.57,622.204,8,1.54E+07,622.104,623.306,98.5902,98.5902,#FF0000,0.1,56.7049
29,0,18,315.241,316.248,1,5.41E+09,316.148,317.351,99.5772,99.631,#FF0000,0.1,-339.146
30,0,12,843.473,844.48,1,2.40E+07,844.38,846.585,15.0252,15.2508,#FF0000,0.1,51.9166
30,0,67,843.473,422.744,2,1.02E+10,422.644,423.846,15.0002,16.9337,#FF0000,0.1,51.9166
30,0,4,843.473,282.165,3,6.28E+06,282.065,282.933,15.0412,15.1752,#FF0000,0.1,51.9166
31,0,8,343.273,344.28,1,2.24E+09,344.18,345.383,99.9297,99.9597,#FF0000,0.1,-339.146
32,0,2,448.269,449.277,1,1.23E+09,449.177,451.382,99.4245,99.453,#FF0000,0.1,-339.146
33,0,1,2106.68,422.343,5,8.69E+08,422.243,423.445,15.0252,15.0252,#FF0000,0.1,-1649.36
34,0,3,2504.17,1253.09,2,6.53E+07,1252.99,1255.7,94.689,95.3885,#FF0000,0.1,-34.7749
34,0,3,2504.17,835.732,3,1.43E+09,835.632,837.502,94.4937,95.5235,#FF0000,0.1,-34.7749
34,0,1,2504.17,627.051,4,3.01E+06,626.951,628.404,94.7565,94.7565,#FF0000,0.1,-34.7749
35,0,2,2507.61,418.942,6,1.15E+09,418.842,419.877,10.4683,10.5,#FF0000,0.1,-1486.99
36,0,1,5551.89,1388.98,4,1.59E+07,1388.88,1391.34,98.488,98.488,#FF0000,0.1,56.0594
36,0,6,5551.89,1111.39,5,6.20E+08,1111.29,1113.29,98.4778,98.517,#FF0000,0.1,56.0594
36,0,10,5551.89,926.322,6,2.70E+09,926.222,927.926,98.4592,98.517,#FF0000,0.1,56.0594
36,0,14,5551.89,794.135,7,4.53E+09,794.035,795.523,98.4298,98.5357,#FF0000,0.1,56.0594
36,0,6,5551.89,694.994,8,8.37E+08,694.894,696.221,98.4687,98.517,#FF0000,0.1,56.0594
37,0,1,2509.59,419.272,6,8.44E+08,419.172,420.208,10.4797,10.4797,#FF0000,0.1,-876.466
38,0,12,381.252,382.259,1,1.36E+09,382.159,384.364,99.3677,99.4915,#FF0000,0.1,-339.146
